mesh,noise_sigma,spacing_h,epsilon_over_h,epsilon,surface_distance,inside_iou
sphere,0.0,0.07706300658300753,0.05,0.0038531503291503767,0.007868954748413561,0.98356555019136
sphere,0.0,0.07706300658300753,0.1,0.0077063006583007534,0.00793009381478951,0.9833687632862324
sphere,0.0,0.07706300658300753,0.25,0.019265751645751884,0.008392552938124243,0.9811358419003893
sphere,0.0,0.07706300658300753,0.5,0.03853150329150377,0.010379483698939427,0.9724248794361321
sphere,0.0,0.07706300658300753,0.75,0.057797254937255654,0.014327434707733167,0.9587437823076173
sphere,0.0,0.07706300658300753,1.0,0.07706300658300753,0.02011581319870371,0.9407373734957054
sphere,0.0,0.07706300658300753,1.5,0.11559450987451131,0.036004644030213175,0.8954476099382842
sphere,0.0,0.07706300658300753,2.0,0.15412601316601507,0.056887981566233314,0.8415195291599786
sphere,0.0,0.07706300658300753,3.0,0.23118901974902262,0.10869865317306851,0.7262249967678186
cube,0.0,0.10556505490467728,0.05,0.005278252745233865,0.01277983161652007,0.9855191358715243
cube,0.0,0.10556505490467728,0.1,0.01055650549046773,0.01285244767391229,0.9853966517940369
cube,0.0,0.10556505490467728,0.25,0.02639126372616932,0.013449162615165027,0.9844667668276693
cube,0.0,0.10556505490467728,0.5,0.05278252745233864,0.015904320190187345,0.9806434057711099
cube,0.0,0.10556505490467728,0.75,0.07917379117850797,0.021326236050769328,0.9695272567194111
cube,0.0,0.10556505490467728,1.0,0.10556505490467728,0.0296467401856401,0.9424112396144109
cube,0.0,0.10556505490467728,1.5,0.15834758235701593,0.05393185853623786,0.8628735607165401
cube,0.0,0.10556505490467728,2.0,0.21113010980935457,0.08353167962845595,0.8011762090499384
cube,0.0,0.10556505490467728,3.0,0.31669516471403186,0.1564670018459893,0.6655083266183186
bunny,0.0,0.06543659081141376,0.05,0.003271829540570688,0.014507087548861106,0.9428888614777353
bunny,0.0,0.06543659081141376,0.1,0.006543659081141376,0.014585522649832088,0.9422531739184026
bunny,0.0,0.06543659081141376,0.25,0.01635914770285344,0.015191220777016162,0.9381019569351573
bunny,0.0,0.06543659081141376,0.5,0.03271829540570688,0.0178369392265067,0.9212048192771084
bunny,0.0,0.06543659081141376,0.75,0.04907744310856032,0.022390733183349353,0.8924028474734508
bunny,0.0,0.06543659081141376,1.0,0.06543659081141376,0.028872061567580962,0.855895685264984
bunny,0.0,0.06543659081141376,1.5,0.09815488621712064,0.04572854065194044,0.7774897056580753
bunny,0.0,0.06543659081141376,2.0,0.13087318162282752,0.06633033454881393,0.6988667519649059
bunny,0.0,0.06543659081141376,3.0,0.19630977243424128,0.11468073411974802,0.5565299661584368
camel,0.0,0.04694706872603617,0.05,0.002347353436301809,0.18655651259006575,0.3642182261505639
camel,0.0,0.04694706872603617,0.1,0.004694706872603618,0.1865796852225493,0.36395939086294415
camel,0.0,0.04694706872603617,0.25,0.011736767181509043,0.18639098471479482,0.36171930178589445
camel,0.0,0.04694706872603617,0.5,0.023473534363018085,0.1881531421025066,0.3531323877068558
camel,0.0,0.04694706872603617,0.75,0.03521030154452713,0.19198406934588952,0.340941512125535
camel,0.0,0.04694706872603617,1.0,0.04694706872603617,0.1966146808628291,0.3246647335991301
camel,0.0,0.04694706872603617,1.5,0.07042060308905426,0.2081194674816539,0.2903225806451613
camel,0.0,0.04694706872603617,2.0,0.09389413745207234,0.22382162611175585,0.25775124091791957
camel,0.0,0.04694706872603617,3.0,0.14084120617810852,0.26551901708027753,0.198681367388775
kid,0.0,0.03310862097454574,0.05,0.0016554310487272871,0.3188573788197378,0.048932778319015144
kid,0.0,0.03310862097454574,0.1,0.0033108620974545743,0.31866113502488275,0.04892844491675522
kid,0.0,0.03310862097454574,0.25,0.008277155243636435,0.3189866078097771,0.048898132578104256
kid,0.0,0.03310862097454574,0.5,0.01655431048727287,0.3196925583852313,0.0488482922954726
kid,0.0,0.03310862097454574,0.75,0.024831465730909306,0.31988215735943376,0.04861446576786263
kid,0.0,0.03310862097454574,1.0,0.03310862097454574,0.3187136650756677,0.04826263242795483
kid,0.0,0.03310862097454574,1.5,0.04966293146181861,0.3195684972246655,0.04736842105263158
kid,0.0,0.03310862097454574,2.0,0.06621724194909148,0.3285556206379424,0.04625799172621286
kid,0.0,0.03310862097454574,3.0,0.09932586292363722,0.3404647628762338,0.04378436103310525
bunny,0.01,0.06716981692786234,0.05,0.003358490846393117,0.013601780953322058,0.9437891632878732
bunny,0.01,0.06716981692786234,0.1,0.006716981692786234,0.013679370018157253,0.9435132314115552
bunny,0.01,0.06716981692786234,0.25,0.016792454231965584,0.014278436845616832,0.9402346614519678
bunny,0.01,0.06716981692786234,0.5,0.03358490846393117,0.01697586057184162,0.9220810357228483
bunny,0.01,0.06716981692786234,0.75,0.05037736269589675,0.021828741894673414,0.8918511649472586
bunny,0.01,0.06716981692786234,1.0,0.06716981692786234,0.028511069996526493,0.8542406749555951
bunny,0.01,0.06716981692786234,1.5,0.1007547253917935,0.04605885378391977,0.7748301031965769
bunny,0.01,0.06716981692786234,2.0,0.13433963385572467,0.06726486844686122,0.6943968239646305
bunny,0.01,0.06716981692786234,3.0,0.201509450783587,0.11750448068765343,0.5486561631139945
bunny,0.02,0.07129883407122312,0.05,0.003564941703561156,0.012544648189821683,0.9396426846933849
bunny,0.02,0.07129883407122312,0.1,0.007129883407122312,0.012565673377165434,0.9393171673301967
bunny,0.02,0.07129883407122312,0.25,0.01782470851780578,0.012999377400726748,0.9387656991767321
bunny,0.02,0.07129883407122312,0.5,0.03564941703561156,0.016193626762650595,0.9168229777256741
bunny,0.02,0.07129883407122312,0.75,0.05347412555341734,0.02151036732296613,0.8847001639066298
bunny,0.02,0.07129883407122312,1.0,0.07129883407122312,0.028983415749921464,0.846353322528363
bunny,0.02,0.07129883407122312,1.5,0.10694825110683467,0.04742786853925636,0.7634885079859759
bunny,0.02,0.07129883407122312,2.0,0.14259766814244623,0.07018643106805907,0.6803019129831258
