mesh,noise_sigma,method,parameters,num_recon_points,num_test_points,spacing_h,phi_error_max,phi_error_mean,phi_error_median,test_to_recon_max,test_to_recon_mean,recon_to_truth_max,recon_to_truth_mean
sphere,0.0,winding number,k = 6,2000,20000,0.07706,4.656039587341641,0.027197325404800233,0.015605897501791366,0.03075509810804068,0.00403027261783255,0.0410461297410491,0.004508168988510265
sphere,0.0,point-to-plane,"eps = 0.1h, squared weight",2000,20000,0.07706,0.07633027238413774,0.004930942095148645,0.002698717814461583,0.0826773773766162,0.005118054985594396,0.10144574699086768,0.005733441009790768
sphere,0.0,"point-to-plane, handout weight","eps = 0.1h, all samples",2000,20000,0.07706,0.42065912702362435,0.20630641819163162,0.21149049568961834,inf,inf,inf,inf
sphere,0.0,"point-to-plane, handout weight, 16 nearest",eps = 0.1h,2000,20000,0.07706,0.025816492813632425,0.003957995836923755,0.003240300038723597,0.025112387813052413,0.0038141800320421423,0.026316194377024066,0.00409371114864289
sphere,0.0,"point-to-plane, exponential weight","eps = 1h, phi = exp(-r^2/eps^2)",2000,20000,0.07706,0.02544151811185701,0.0033339940377139655,0.002875241099793205,0.019750288347155736,0.0029367676439792773,0.0218230861861336,0.0032376926664773424
sphere,0.0,"winding number, regularized",delta = 0.5h,2000,20000,0.07706,0.08232736480894892,0.017025042378388068,0.013773334000589832,0.016116493394424294,0.0021119409467165637,0.012980889336786747,0.002051011056444004
sphere,0.02,winding number,k = 6,2000,20000,0.08176,383.18450526811273,0.3588047099407215,0.1384780998659751,0.05274793112928191,0.008182519016643101,0.07726107665833748,0.010524734518365936
sphere,0.02,point-to-plane,"eps = 0.1h, squared weight",2000,20000,0.08176,0.08210034190112436,0.01077867104481373,0.00914322316572215,0.09671059630905907,0.010717871581713532,0.11544202114141201,0.013659170637678648
cube,0.0,winding number,k = 6,2000,20000,0.10557,10.38865997042883,0.039312827935989524,0.012300138861067622,0.08554818869877291,0.004744823941150078,0.05919369302305755,0.005503656901545767
cube,0.0,point-to-plane,"eps = 0.1h, squared weight",2000,20000,0.10557,0.09755513624131458,0.007241405450071642,0.003277310638462777,0.10300357790659857,0.008178989425043576,0.17433498269482595,0.013992520507264537
cube,0.0,"point-to-plane, handout weight","eps = 0.1h, all samples",2000,20000,0.10557,0.42560872491240515,0.2309417132391543,0.23209273235897238,inf,inf,inf,inf
cube,0.0,"point-to-plane, handout weight, 16 nearest",eps = 0.1h,2000,20000,0.10557,0.09259666551369816,0.005886764908606716,9.05473909380018e-17,0.11487865891542708,0.006994921288639933,0.14261941375334808,0.011238543028889741
cube,0.0,"point-to-plane, exponential weight","eps = 1h, phi = exp(-r^2/eps^2)",2000,20000,0.10557,0.09645686093727528,0.0053326998614258,5.734306555108636e-05,0.08700692541204731,0.0055082407110787724,0.28539179573127593,0.010125733896487391
cube,0.0,"winding number, regularized",delta = 0.5h,2000,20000,0.10557,0.37405755532095053,0.036500132891852256,0.014474238395704081,0.09433981184201895,0.0049979284382476695,0.0625,0.004067637659712393
cube,0.02,winding number,k = 6,2000,20000,0.10949,370.7716355215071,0.3922517106221717,0.11815059399277456,0.07515594942391843,0.00872456922456422,0.10190547672691619,0.011885456763562487
cube,0.02,point-to-plane,"eps = 0.1h, squared weight",2000,20000,0.10949,0.0780858325020455,0.01355026806387126,0.011135468240587112,0.09338050694231688,0.013975401571773126,0.15112651643197816,0.020909439884743627
bunny,0.0,winding number,k = 6,2000,20000,0.06544,125.92144540706481,0.07839625266263614,0.0377974247202387,0.06105528872895917,0.005536581963357565,0.09799261273390489,0.00627897173137865
bunny,0.0,point-to-plane,"eps = 0.1h, squared weight",2000,20000,0.06544,0.053906389222008765,0.0053091634066464305,0.0029055086477827183,0.05567016351948974,0.005766953419795399,0.3414083461399055,0.016807671995210674
bunny,0.0,"point-to-plane, handout weight","eps = 0.1h, all samples",2000,20000,0.06544,0.26412121915659803,0.12416417506545972,0.12617854055051364,inf,inf,inf,inf
bunny,0.0,"point-to-plane, handout weight, 16 nearest",eps = 0.1h,2000,20000,0.06544,0.05461769829211027,0.0061964219901619304,0.004186588187454926,0.07786880658721057,0.006662496753981731,0.18898302432169803,0.012536490820218708
bunny,0.0,"point-to-plane, exponential weight","eps = 1h, phi = exp(-r^2/eps^2)",2000,20000,0.06544,0.05211392922628496,0.005975347519123861,0.004295274082870601,0.04873780029419649,0.005213417860852667,1.2035776313896867,0.119216462197074
bunny,0.0,"winding number, regularized",delta = 0.5h,2000,20000,0.06544,0.40164588353472974,0.054175151068061374,0.03855052923424024,0.10206520317818941,0.006231674033971656,0.09719783394838102,0.005291955553817856
bunny,0.02,winding number,k = 6,2000,20000,0.0713,821.5819753082413,0.41120698934253713,0.17080621752335057,0.07372688882212096,0.008983806638425932,0.10065591645304675,0.012177105337281826
bunny,0.02,point-to-plane,"eps = 0.1h, squared weight",2000,20000,0.0713,0.06341656285878437,0.010664469385671881,0.009212440665321866,0.07241909036175716,0.01146650688713423,0.2923175181342695,0.022780865624869903
camel,0.0,winding number,k = 6,2000,20000,0.04695,139.22069073207155,0.08918734724048424,0.03835219329711129,0.08821069391916521,0.00766974465698934,0.040293953756877395,0.005997860455322543
camel,0.0,point-to-plane,"eps = 0.1h, squared weight",2000,20000,0.04695,0.049636758924704066,0.0057453068988835565,0.0033555373182603664,0.06461167065079965,0.006909877075907583,1.8433964478302944,0.3582165900751118
camel,0.0,"point-to-plane, handout weight","eps = 0.1h, all samples",2000,20000,0.04695,0.15499015577456376,0.06273411588085577,0.05939436388347889,3.5896155569196835,2.485774437746753,1.5943767003840776,1.5723676714307735
camel,0.0,"point-to-plane, handout weight, 16 nearest",eps = 0.1h,2000,20000,0.04695,0.06687154726998287,0.007230075268681003,0.0048708521677418215,0.09122506232514448,0.008622400893722513,1.3539083347206,0.15050727242717266
camel,0.0,"point-to-plane, exponential weight","eps = 1h, phi = exp(-r^2/eps^2)",2000,20000,0.04695,0.059364967649617933,0.00693044767081219,0.004847321175861157,0.06239286985423838,0.00573721134044134,1.5447410010657232,0.3472113750899645
camel,0.0,"winding number, regularized",delta = 0.5h,2000,20000,0.04695,0.45659608361284854,0.08146014690407331,0.05213387300940034,0.12646386689378605,0.011545871367448765,0.03686293985340091,0.004993876841212434
camel,0.02,winding number,k = 6,2000,20000,0.05376,66.23861153869471,0.346796385148723,0.19560380973437197,0.10157286560340228,0.011088348990044218,0.07322900470957551,0.012619964477287804
camel,0.02,point-to-plane,"eps = 0.1h, squared weight",2000,20000,0.05376,0.046095696731506916,0.009910547701282737,0.008323615558868132,0.07546213249008032,0.01244743416806378,1.8250498905958448,0.3564579289016528
kid,0.0,winding number,k = 6,2000,20000,0.03311,43.88994457636197,0.08182956969335821,0.04272112212937934,0.0846568496791907,0.007435524945710745,0.03478710460586339,0.006285445492567414
kid,0.0,point-to-plane,"eps = 0.1h, squared weight",2000,20000,0.03311,0.0348287096585638,0.003807632356098337,0.002236023210127692,0.04958327038754117,0.005260806810077629,2.0014567895381212,0.6198553982785552
kid,0.0,"point-to-plane, handout weight","eps = 0.1h, all samples",2000,20000,0.03311,0.08445187823525785,0.04009970111854252,0.03972182300109625,2.4694159130769564,1.6242237714939904,1.6614712619662027,1.1557204471910514
kid,0.0,"point-to-plane, handout weight, 16 nearest",eps = 0.1h,2000,20000,0.03311,0.037478367382924246,0.004861649422424982,0.0034817882978434144,0.05011879144355676,0.004282920590792054,1.9735967366259315,0.5769710693855195
kid,0.0,"point-to-plane, exponential weight","eps = 1h, phi = exp(-r^2/eps^2)",2000,20000,0.03311,0.03471356100695535,0.004297726116868537,0.003418529333535352,0.03011231286163968,0.00255821782617041,1.8636437682595306,0.6720959035279122
kid,0.0,"winding number, regularized",delta = 0.5h,2000,20000,0.03311,0.5448408010915703,0.07019416644198863,0.057340521369731806,0.11122636463217478,0.008354917909948904,0.023949195942517692,0.004357528716396279
kid,0.02,winding number,k = 6,2000,20000,0.04102,116.48630351002544,0.3764261683888682,0.23689957602516865,0.07741242225809623,0.011238972919304794,0.09552951405378915,0.014393137685320986
kid,0.02,point-to-plane,"eps = 0.1h, squared weight",2000,20000,0.04102,0.03501069977975572,0.007189180115657037,0.0059263369962471455,0.04930863172885696,0.010963059402931678,2.0208891625110237,0.5529953570834953
